audio_path,reference,condition
data/processed/noisy_10db/sample_054_noisy_10db.wav,आभा ने राठौड़ से जेल में मुलाकात की,noisy_10db
data/processed/noisy_10db/sample_055_noisy_10db.wav,"मैं थोड़ा-बहुत समझ सकता हूँ, पर बोल नहीं सकता हूँ।",noisy_10db
data/processed/noisy_10db/sample_056_noisy_10db.wav,वह दस साल का लड़का था।,noisy_10db
data/processed/noisy_10db/sample_057_noisy_10db.wav,इसलिए याद किए जाते रहेंगे ओम पुरी...,noisy_10db
data/processed/noisy_10db/sample_058_noisy_10db.wav,"लोकसभा में कल उठेगा जानलेवा प्रदूषण का मुद्दा, प्रकाश जावड़ेकर देंगे जवाब",noisy_10db
data/processed/noisy_10db/sample_059_noisy_10db.wav,दो बार की ग्रैंडस्लैम चैम्पियन ली ना ने टेनिस से संन्यास लिया,noisy_10db
data/processed/noisy_10db/sample_060_noisy_10db.wav,"अयोध्या में हलचल, तेज हो रहा राम मंदिर के लिए पत्थर तराशने का काम",noisy_10db
data/processed/noisy_10db/sample_061_noisy_10db.wav,घर चमकाना हो तो कीजिए रीठा का इस्तेमाल,noisy_10db
data/processed/noisy_10db/sample_062_noisy_10db.wav,"बॉक्स ऑफिस पर पिटी सोनचिड़िया, लुका छुपी के सामने तोड़ा दम",noisy_10db
data/processed/noisy_10db/sample_063_noisy_10db.wav,यहाँ स्पेनी बोली जाती है।,noisy_10db
data/processed/noisy_10db/sample_064_noisy_10db.wav,पाकिस्तान ने परमाणु क्षमता सम्पन्न मिसाइल का परीक्षण किया,noisy_10db
data/processed/noisy_10db/sample_065_noisy_10db.wav,तुम पुर्त्तगाल में रहती हो या ब्राज़ील में?,noisy_10db
data/processed/noisy_10db/sample_066_noisy_10db.wav,इन्सान का शरीर एक तरह की मशीन होती है।,noisy_10db
data/processed/noisy_10db/sample_067_noisy_10db.wav,उसने पीछे मुड़कर मुझपर मुस्कुराया।,noisy_10db
data/processed/noisy_10db/sample_068_noisy_10db.wav,"इस केक में आटा, दूध, अंडे और शक्कर है।",noisy_10db
data/processed/noisy_10db/sample_069_noisy_10db.wav,चीन में मेरा और एक दोस्त है।,noisy_10db
data/processed/noisy_10db/sample_070_noisy_10db.wav,मैं चाय पीना चाहता हूँ।,noisy_10db
data/processed/noisy_10db/sample_071_noisy_10db.wav,"सिंगापुर को मलाय में ""सिंगापुरा"" कहते हैं।",noisy_10db
data/processed/noisy_10db/sample_072_noisy_10db.wav,महिलाओं के लिये स्ट्रिप क्लब है।,noisy_10db
data/processed/noisy_10db/sample_073_noisy_10db.wav,अनुपम ने विकलांग लड़की की मदद की इच्छा जताई,noisy_10db
data/processed/noisy_10db/sample_074_noisy_10db.wav,"ब्रिटिश जज ने पूछा, ‘ये चौके और छक्के क्या होते हैं?’",noisy_10db
data/processed/noisy_10db/sample_075_noisy_10db.wav,"पुराने ढर्रे पर कपिल शर्मा, क्या खत्म होने की ओर है उनका करियर?",noisy_10db
data/processed/noisy_10db/sample_076_noisy_10db.wav,बर्थडे स्पेशल: फिल्मों में एक्टिंग के लिए छोड़ दी थी इंजीनियरिंग...,noisy_10db
data/processed/noisy_10db/sample_077_noisy_10db.wav,ग्रीक लोग भी अक्सर मछली खाते हैं।,noisy_10db
data/processed/noisy_10db/sample_078_noisy_10db.wav,मेरे पास जो भी पैसे थे मैंने उसे दे दिए।,noisy_10db
data/processed/noisy_10db/sample_079_noisy_10db.wav,कश्मीर में हड़ताल से सामान्य जनजीवन प्रभावित,noisy_10db
data/processed/noisy_10db/sample_080_noisy_10db.wav,मुझे भावी प्रधानमंत्री न समझा जाए: राहुल गांधी,noisy_10db
data/processed/noisy_10db/sample_081_noisy_10db.wav,"इवेंट में चिल्लाते हुए पाकिस्तानी लड़की ने किया प्रियंका से सवाल, मिला करारा जवाब",noisy_10db
data/processed/noisy_10db/sample_082_noisy_10db.wav,तुम क्यों नहीं आए?,noisy_10db
data/processed/noisy_10db/sample_083_noisy_10db.wav,लव लेटर नहीं लव ट्वीट्स का है जमाना,noisy_10db
data/processed/noisy_10db/sample_084_noisy_10db.wav,"पुलिस के हत्थे चढ़ा कैब में बलात्कार का आरोपी ड्राइवर, मथुरा से गिरफ्तारी",noisy_10db
data/processed/noisy_10db/sample_085_noisy_10db.wav,एक पानिनी या दो पानिनी?,noisy_10db
data/processed/noisy_10db/sample_086_noisy_10db.wav,राम मंदिर पर सभी को कोर्ट के फैसले पर चलना होगा: अमर सिंह,noisy_10db
data/processed/noisy_10db/sample_087_noisy_10db.wav,इस प्रोग्राम को अपने कंप्यूटर पर कॉपी कर लीजिए।,noisy_10db
data/processed/noisy_10db/sample_088_noisy_10db.wav,बिल चरित्र में अपने पिता से मिलता-जुलता है।,noisy_10db
data/processed/noisy_10db/sample_089_noisy_10db.wav,सभी उसकी अच्छाई करते है।,noisy_10db
data/processed/noisy_10db/sample_090_noisy_10db.wav,उसे संत्रे अच्छे लगते हैं।,noisy_10db
data/processed/noisy_10db/sample_091_noisy_10db.wav,बच्चों ने एक-दूसरे की नकल करने की कोशिश करी।,noisy_10db
data/processed/noisy_10db/sample_092_noisy_10db.wav,मैं उनसे इतना प्यार करता हूँ कि मैं उन्हें छोड़ नहीं सकती।,noisy_10db
data/processed/noisy_10db/sample_093_noisy_10db.wav,आप ने कुछ ज़्यादा ही पी ली है।,noisy_10db
data/processed/noisy_10db/sample_094_noisy_10db.wav,यह किताब उस किताब से पुरानी है।,noisy_10db
data/processed/noisy_10db/sample_095_noisy_10db.wav,अमरीकी झंडे में पचास सितारे हैं।,noisy_10db
data/processed/noisy_10db/sample_096_noisy_10db.wav,आकाश में कई अरब सितारे हैं।,noisy_10db
data/processed/noisy_10db/sample_097_noisy_10db.wav,बारामूला: आतंकियों से मुठभेड़ में सैनिक शहीद,noisy_10db
data/processed/noisy_10db/sample_098_noisy_10db.wav,एथेंस में स्विट्जरलैंड दूतावास के बाहर धमाका,noisy_10db
data/processed/noisy_10db/sample_099_noisy_10db.wav,वह हर सुबह अखबार पढ़ती है।,noisy_10db
data/processed/noisy_10db/sample_100_noisy_10db.wav,आमिर ने मराठी फिल्म 'सैराट' की जमकर की तारीफ,noisy_10db
